Item,Price
Hippie Snacks Sesame Snap Coconut Clusters,$5.02
Creminelli Snack Tray – Sopressata Salami & Monterey Jack,$7.08
Creminelli Sopressata Monterey Jack Snack Tray,$7.13
Creminelli Sporessata Monterey Jack Snack Tray,$7.96
Babybel® Mini Cheese Snack,$1.17
Country Archer – Original Beef Jerky,$7.95
This Bar Saves Lives™ – Dark Chocolate Peanut Butter & Sea Salt Bar,$2.85
This Bar Saves Lives™ Madagascar Vanilla Almond & Honey Bar,$2.85
Tortilla Chips,$2.27
KIND Blueberry Vanilla and Cashew Bar,$2.65
KIND Blueberry Vanilla Cashew,$2.65
That's It® – Apple + Blueberry Bar,$2.25
That's It - Apple & Blueberry Bar,$2.25
Perfect Bar Peanut Butter,$4.82
Sprouted Grain Vegan Bagel,$2.39
Ham & Cheese Savory Foldover,$3.45
Iced Lemon Pound Cake,$3.41
Wheat Spinach Savory Foldover,$3.45
Everything Bagel,$3.20
Cinnamon Raisin Bagel,$2.46
Pepperoni & Tomato Savory Foldover,$3.45
Peppermint Brownie Cake Pop,$3.66
Iced Lemon Loaf,$4.87
Plain Bagel,$3.06
Chocolate Chip Cookie Dough Cake Pop,$2.69
Birthday Cake Pop,$3.05
Cookies and Cream Cake Pop,$3.96
Blueberry Streusel Muffin,$4.39
Iced Lemon Loaf Cake,$3.06
Classic Coffee Cake,$3.92
Chocolate Cake Pop,$3.52
bacon and guada,$3.95
Lime-Frosted Coconut Bar,$3.85
Vanilla Bean Custard Danish,$5.10
Lemon Cake Pop,$2.61
Red Velvet Loaf Cake,$3.68
Unicorn Cake Pop,$3.63
Cat Cake Pop,$2.70
Double Chocolate Chunk Brownie,$3.10
Pumpkin and Pepita Loaf,$4.88
Dark Toffee Bundt,$5.30
Chocolate Chip Cookie,$2.87
Confetti Sugar Cookie,$3.27
Coffee Cake,$2.95
Cinnamon Coffee Cake,$4.60
Orange Cream Cake Pop,$4.34
Butter Croissant,$3.58
Washington Apple Pound Cake,$2.95
Raccoon Cake Pop,$4.33
Chocolate Croissant,$3.89
Banana Walnut and Pecan Loaf,$4.85
Turkey Sage Danish,$6.04
Almond Croissant,$3.55
Snowman Cookie,$3.55
Cheese Danish,$3.71
White Chocolate Cookie Crème,$3.45
Glazed Doughnut,$3.35
Marshmallow Dream Bar,$3.03
Old-Fashioned Glazed Doughnut,$2.59
Pineapple Cloud Cake,$4.61
Baked Apple Croissant,$4.93
Banana Nut Bread,$3.28
Bumblebee Cake Pop,$3.80
Blueberry Muffin,$3.17
Morning Bun,$3.50
Pumpkin Bread,$3.95
Pumpkin Cream Cheese Muffin,$3.54
Morning Muffin,$3.32
Blueberry Scone,$3.37
